komentar,clean_text
Barang tidak sesuai dg yg di iklankan bawahnya keras sy kecewa,barang tidak sesuai dg yang di iklan bawah keras sy kecewa
Pengiriman cepet tapi lok ada yg ngirut di sisidepan nih min,kirim cepet tapi lok ada yang ngirut di sisidepan nih min
Barang dah nyampe kemaren cuma baru saya buka tpy kurang puas kirain bawah nya seket ternyata ya lumayan lah dari pada lumanyun,barang dah nyampe kemaren cuma baru saya buka tpy kurang puas kirain bawah nya seket nyata ya lumayan lah dari pada lumanyun
Gag sesuai di gambar Masa pinggir ya pake cet belepotan lgh,gag sesuai di gambar masa pinggir ya pake cet belepotan lgh
"Alhamdulillah... Sepatunya Sudah datang Sangat Sesuai dengan Pesanan, Terima Kasih Reseller Semuga Selalu Amanah... Aamiin KurirNya Juga Sangat Ramah",alhamdulillah sepatu sudah datang sangat sesuai dengan pesan terima kasih reseller semuga selalu amanah aamiin kurir juga sangat ramah
Bentuk dan ukuran: Pas di kaki,bentuk dan ukur pas di kaki
tdk memuaskan sepatu baru kok sudah terbuka lemx sudah robek lagi bagian belakang,tidak muas sepatu baru kok sudah buka lemx sudah robek lagi bagi belakang
"Barang kalau jelek jgn di jual,,bikin kecewa pembeli",barang kalau jelek jgn di jualbikin kecewa beli
Terimakasih paket sudah dterima.. model bagus.kuwalitas sesuwai harga..,terimakasih paket sudah dterima model baguskuwalitas sesuwai harga
Bentuk dan ukuran: Kecewa Tidak sesuai saya pesan no 39 datang no 42 gimana ini!!!,bentuk dan ukur kecewa tidak sesuai saya pesan no datang no gimana ini
"Parah, Masa Yang Dateng Paket Sebatunye Bahan Ame Yang Di Iklannye Beda????? Sungguh Mengecewakan 😠😠😠😠😠",parah masa yang dateng paket sebatunye bahan ame yang di iklannye beda sungguh kecewa
Ngak sesuai pesanan trus gimana ini Jelek kali bro👎👎👎,ngak sesuai pesan trus gimana ini jelek kali bro
"Tidak sesuai gambar , tidak amanah ,, sangat mengecewakan",tidak sesuai gambar tidak amanah sangat kecewa
Bentuk dan ukuran: Pas sesuai pesanan,bentuk dan ukur pas sesuai pesan
"kirain merk sneker yg dateng,ngga taunya merk Afshifa gimana kak,,katanya real pic",kirain merk sneker yang datengngga tau merk afshifa gimana kakkatanya real pic
Depan nya tidak bagus dan sangat mengecewakan tolong bagaiman ini,depan nya tidak bagus dan sangat kecewa tolong bagaiman ini
"Ok paket sudah sampah dan sesuai dengan apa yang di ingin kan,tapi lem nya GK kuat",ok paket sudah sampah dan sesuai dengan apa yang di ingin kantapi lem nya tidak kuat
Lumayan cmn tpaknya agak keras..,lumayan cmn tpaknya agak keras
Bentuk dan ukuran: Estetik ukuran pas,bentuk dan ukur estetik ukur pas
"Alhamdulillah paketnya SDH sampe, Pesanan sesuai digambar, Mksh bwt tokonya jg Abang kurirnya yg baik👍👍🙏",alhamdulillah paket sdh sampe pesan sesuai gambar mksh bwt toko jg abang kurir yang baik
sungguh kecewa warna kenapa tak sesuai biarpun harga murah,sungguh kecewa warna kenapa tak sesuai biarpun harga murah
Barang udah sampai lumayan bagus sagitu ukuran pas,barang udah sampai lumayan bagus sagitu ukur pas
Sepatu nya gak sesuai yg ku inginkan minta nomor 40 malah d kasih nmr 43 jadi ke gegedean,sepatu nya gak sesuai yang ku ingin minta nomor malah d kasih nmr jadi ke gegedean
Barang tidak sesuai di iklankan...toko ini tidak amanah...parah barang yg saya terima,barang tidak sesuai di iklankantoko ini tidak amanahparah barang yang saya terima
"Alhamdulillah paket udah datang sesuai pesanan,,iya lumayan lah harga segitu mah,,",alhamdulillah paket udah datang sesuai pesananiya lumayan lah harga segitu mah
Barang sesuai pesanan...sukses selalu👍👍,barang sesuai pesanansukses selalu
Tidak sesuai harapan Bahan keras,tidak sesuai harap bahan keras
Untuk harga semurah ini barang nya bagus,untuk harga murah ini barang nya bagus
Boss sepatunya dtg tdk ada tali. Sangat tdk memuaskan..!!,boss sepatu dtg tidak ada tali sangat tidak muas
Alas licin tidak sesuai dengan promosi,alas licin tidak sesuai dengan promosi
Lumayan bagus untuk harga segitu.. Awet brngnya ketimbang uangnya 😁😁😁,lumayan bagus untuk harga segitu awet brngnya ketimbang uang
"Barang bagus, sesuai harga👍",barang bagus sesuai harga
maf KA nomer y sepatu y kegedaan.saya pesan nomer 41 ko Dateng y 43,maf ka nomer y sepatu y kegedaansaya pesan nomer ko dateng y
Keren barangnya sudah sampai semoga awet untuk di pakai sehari-hari,keren barang sudah sampai moga awet untuk di pakai seharihari
"Bentuk dan ukuran: Harga merayakyat . Ukuran pas . desain sesuai, saran untuk perwarna ya jangan sampai kelewat. Biar keliatan profesional. Untuk harga emang gila terbaik anjir . Bahan juga standar dengan harga , terbaik . Saran untuk daya tahan pakai. Saya harap kuat aja lemnya . Soalnya belum ketauan.",bentuk dan ukur harga merayakyat ukur pas desain sesuai saran untuk warna ya jangan sampai lewat biar liat profesional untuk harga emang gila baik anjir bahan juga standar dengan harga baik saran untuk daya tahan pakai saya harap kuat aja lem soal belum tau
Sangat buruk di bagian cat nya,sangat buruk di bagi cat nya
"Barang.a sesuai foto terima kasih,",baranga sesuai foto terima kasih
Kualitas sesuai harga Aroma: Barang baru Daya tahan pakai: Kayanya awera kalau ga di pakai Bentuk dan ukuran: Uk pas sesuai pesanan,kualitas sesuai harga aroma barang baru daya tahan pakai kaya awera kalau tidak di pakai bentuk dan ukur uk pas sesuai pesan
Intinya sesuai pesanan ukuran pas di 42 gk kecil gk besar bahan lemes gk sakit di pake rasa nyaman oke dah pokonya,inti sesuai pesan ukur pas di tidak kecil tidak besar bahan lemes tidak sakit di pake rasa nyaman oke dah poko
Pesanan sudah kami Terima tapi tidak sesuai pilihan pesan orenn di kirim hijau tidak memuaskan pelanggan,pesan sudah kami terima tapi tidak sesuai pilih pesan orenn di kirim hijau tidak muas langgan
Kecewa dikira bawah nya karet ternyata😌 Pengiriman emang cepet sih,kecewa kira bawah nya karet nyata kirim emang cepet sih
"Bentuk dan ukuran: Agak sobek dikit ,mohon di cek kembali sebelum pengemasan",bentuk dan ukur agak sobek dikit mohon di cek kembali belum emas
Bentuk dan ukuran: Pas Daya tahan pakai: Tidak dianjurkan dipakai setiap hari,bentuk dan ukur pas daya tahan pakai tidak anjur pakai tiap hari
"Barang di terima dengan baik dan sesuai permintaan, terimakasih",barang di terima dengan baik dan sesuai minta terimakasih
2 hari pakai.sudah sobek pinggir,hari pakaisudah sobek pinggir
